"Coefficient","mean","sd","median","95% CI","species"
"beta.developed_low_intensity",12,6.6,12,"-2 - 24","Band-tailed Pigeon"
"beta.developed_low_intensity_sq",-4.2,5,-4.2,"-14 - 5.4","Band-tailed Pigeon"
"beta.effort_hours",0.43,0.071,0.43,"0.3 - 0.57","Band-tailed Pigeon"
"beta.elevation",-12,7.3,-12,"-26 - 2.8","Band-tailed Pigeon"
"beta.elevation_sq",-8.2,6.5,-8.1,"-21 - 4.5","Band-tailed Pigeon"
"beta.emergent_wetland",-5.5,6.1,-5.2,"-18 - 5.8","Band-tailed Pigeon"
"beta.emergent_wetland_sq",-1.7,6.1,-1.4,"-15 - 9","Band-tailed Pigeon"
"beta.evergreen_forest",7.5,7.3,7.5,"-7 - 22","Band-tailed Pigeon"
"beta.evergreen_forest_sq",-14,6.1,-15,"-26 - -1.3","Band-tailed Pigeon"
"beta.grassland_herbaceous",-9.2,6.8,-9,"-23 - 3.7","Band-tailed Pigeon"
"beta.grassland_herbaceous_sq",0.8,6.2,1.1,"-12 - 12","Band-tailed Pigeon"
"beta.lakes",0.29,7.3,1.4,"-17 - 11","Band-tailed Pigeon"
"beta.lakes_sq",-1.3,4.9,-1.2,"-11 - 8.1","Band-tailed Pigeon"
"beta.max_temperature",-6.5,7.5,-6.4,"-21 - 8","Band-tailed Pigeon"
"beta.max_temperature_sq",-7.7,6.5,-7.7,"-20 - 5.1","Band-tailed Pigeon"
"beta.mixed_forest",12,4.4,12,"2.8 - 20","Band-tailed Pigeon"
"beta.mixed_forest_sq",-3.9,3.6,-3.9,"-11 - 3.2","Band-tailed Pigeon"
"beta.number_observers",0.038,0.12,0.046,"-0.23 - 0.26","Band-tailed Pigeon"
"beta.ocean",4.5,6.1,4.9,"-8.9 - 15","Band-tailed Pigeon"
"beta.ocean_sq",-4.1,5.7,-3.7,"-16 - 6","Band-tailed Pigeon"
"beta.pasture_hay",3.3,7.2,3.3,"-11 - 17","Band-tailed Pigeon"
"beta.pasture_hay_sq",-7.2,6.3,-6.8,"-21 - 3.8","Band-tailed Pigeon"
"beta.precipitation",-14,6.1,-14,"-27 - -2.6","Band-tailed Pigeon"
"beta.precipitation_sq",5.8,5.2,5.9,"-4.3 - 16","Band-tailed Pigeon"
"beta.rivers",2.6,8.4,4.4,"-18 - 15","Band-tailed Pigeon"
"beta.rivers_sq",-4.3,6,-4.9,"-15 - 9.2","Band-tailed Pigeon"
"beta.shrub_scrub",-7.6,7,-7.7,"-21 - 6.6","Band-tailed Pigeon"
"beta.shrub_scrub_sq",2,6.7,2.3,"-12 - 15","Band-tailed Pigeon"
"beta.slope",16,6.1,16,"4 - 28","Band-tailed Pigeon"
"beta.slope_sq",-22,5.9,-22,"-33 - -10","Band-tailed Pigeon"
"beta.time_of_day",-0.09,0.092,-0.091,"-0.27 - 0.089","Band-tailed Pigeon"
"beta.woody_wetland",-3.1,6.6,-3.2,"-16 - 10","Band-tailed Pigeon"
"beta.woody_wetland_sq",-3.1,5.7,-3.2,"-14 - 8.2","Band-tailed Pigeon"
"beta.0",-4.4,0.11,-4.4,"-4.6 - -4.2","Bank Swallow"
"beta.aspect",-5.9,7.1,-5.9,"-20 - 8.3","Bank Swallow"
"beta.aspect_sq",-7.3,7.2,-7.4,"-21 - 7.5","Bank Swallow"
"beta.barren_land",4,6,4.3,"-8.4 - 15","Bank Swallow"
"beta.barren_land_sq",-23,6.5,-23,"-36 - -11","Bank Swallow"
"beta.cultivated_crop",17,7.3,17,"2.2 - 31","Bank Swallow"
"beta.cultivated_crop_sq",-14,6.6,-14,"-27 - -0.77","Bank Swallow"
"beta.deciduous_forest",-11,8.2,-11,"-27 - 5","Bank Swallow"
"beta.deciduous_forest_sq",1.8,8.9,1.7,"-16 - 19","Bank Swallow"
"beta.developed_high_intensity",-1.1,8,-1,"-17 - 14","Bank Swallow"
"beta.developed_high_intensity_sq",-2.4,7,-2.1,"-17 - 11","Bank Swallow"
"beta.developed_low_intensity",-6.9,9.3,-6.8,"-25 - 11","Bank Swallow"
"beta.developed_low_intensity_sq",-7.9,10,-8,"-27 - 11","Bank Swallow"
"beta.effort_hours",0.11,0.08,0.11,"-0.055 - 0.26","Bank Swallow"
"beta.elevation",-1.2,7.8,-1.2,"-16 - 14","Bank Swallow"
"beta.elevation_sq",-2.3,7,-2.1,"-16 - 11","Bank Swallow"
"beta.emergent_wetland",3.3,7.5,3.8,"-12 - 16","Bank Swallow"
"beta.emergent_wetland_sq",1,5.5,1.5,"-11 - 10","Bank Swallow"
"beta.evergreen_forest",-7.6,8.8,-7.6,"-25 - 9.2","Bank Swallow"
"beta.evergreen_forest_sq",0.61,7.4,0.84,"-14 - 15","Bank Swallow"
"beta.grassland_herbaceous",-4.3,7.2,-4.2,"-19 - 9.7","Bank Swallow"
"beta.grassland_herbaceous_sq",-7.9,7.4,-7.9,"-23 - 6.4","Bank Swallow"
"beta.lakes",15,5.5,16,"3.5 - 26","Bank Swallow"
"beta.lakes_sq",-9.5,6.1,-8.9,"-23 - 1.2","Bank Swallow"
"beta.max_temperature",1.8,8.6,1.8,"-15 - 18","Bank Swallow"
"beta.max_temperature_sq",-11,6.8,-11,"-25 - 1.8","Bank Swallow"
"beta.mixed_forest",-6,8,-5.9,"-22 - 9.3","Bank Swallow"
"beta.mixed_forest_sq",7.3,7.6,7.6,"-8.3 - 22","Bank Swallow"
"beta.number_observers",0.16,0.064,0.16,"0.02 - 0.27","Bank Swallow"
"beta.ocean",-15,7.9,-14,"-31 - 0.089","Bank Swallow"
"beta.ocean_sq",4.5,6.8,4.7,"-9.5 - 17","Bank Swallow"
"beta.pasture_hay",-6.1,7.3,-6.1,"-21 - 8","Bank Swallow"
"beta.pasture_hay_sq",-3.6,7.2,-3.5,"-18 - 9.8","Bank Swallow"
"beta.precipitation",-12,7.6,-12,"-26 - 3.4","Bank Swallow"
"beta.precipitation_sq",6.2,6.2,6.2,"-6.1 - 19","Bank Swallow"
"beta.rivers",3.5,5.9,3.8,"-8.8 - 14","Bank Swallow"
"beta.rivers_sq",3.4,7.1,4.9,"-14 - 14","Bank Swallow"
"beta.shrub_scrub",3.3,7.9,3.5,"-12 - 18","Bank Swallow"
"beta.shrub_scrub_sq",-11,6.9,-11,"-24 - 2.7","Bank Swallow"
"beta.slope",-14,8.3,-15,"-30 - 2.9","Bank Swallow"
"beta.slope_sq",3.6,6.9,3.8,"-10 - 17","Bank Swallow"
"beta.time_of_day",0.11,0.093,0.11,"-0.069 - 0.29","Bank Swallow"
"beta.woody_wetland",-4.6,7.6,-4.5,"-20 - 10","Bank Swallow"
"beta.woody_wetland_sq",-6.2,7.4,-6.1,"-21 - 7.9","Bank Swallow"
"beta.0",-2.1,0.03,-2.1,"-2.2 - -2.1","Barn Swallow"
"beta.aspect",-10,4.3,-10,"-18 - -1.9","Barn Swallow"
"beta.aspect_sq",4.7,3.4,4.8,"-2.1 - 11","Barn Swallow"
"beta.barren_land",1.8,3.5,1.9,"-5.4 - 8.3","Barn Swallow"
"beta.barren_land_sq",1.8,3.2,1.9,"-4.5 - 7.9","Barn Swallow"
"beta.cultivated_crop",38,2.9,38,"32 - 44","Barn Swallow"
"beta.cultivated_crop_sq",-6,2.5,-6,"-11 - -1","Barn Swallow"
"beta.deciduous_forest",-38,4,-38,"-46 - -30","Barn Swallow"
"beta.deciduous_forest_sq",9.7,3.7,9.8,"2.3 - 17","Barn Swallow"
"beta.developed_high_intensity",7.8,4.2,8.1,"-1.8 - 15","Barn Swallow"
"beta.developed_high_intensity_sq",-6.3,3.3,-6.4,"-13 - 0.16","Barn Swallow"
"beta.developed_low_intensity",-33,4.4,-33,"-42 - -25","Barn Swallow"
"beta.developed_low_intensity_sq",-9,4.1,-9,"-17 - -1.2","Barn Swallow"
"beta.effort_hours",0.18,0.023,0.18,"0.13 - 0.22","Barn Swallow"
"beta.elevation",-1.7,5.5,-1.6,"-13 - 8.9","Barn Swallow"
"beta.elevation_sq",-8.5,4.2,-8.6,"-17 - -0.19","Barn Swallow"
"beta.emergent_wetland",13,2.8,13,"7.7 - 18","Barn Swallow"
"beta.emergent_wetland_sq",-8.9,2.9,-8.9,"-15 - -3.3","Barn Swallow"
"beta.evergreen_forest",-33,4.7,-33,"-43 - -24","Barn Swallow"
"beta.evergreen_forest_sq",11,4.3,11,"2.1 - 19","Barn Swallow"
"beta.grassland_herbaceous",-1.1,5.2,-1.5,"-10 - 9.7","Barn Swallow"
"beta.grassland_herbaceous_sq",-1.1,3.5,-1,"-8 - 5.6","Barn Swallow"
"beta.lakes",11,2.9,11,"5.5 - 17","Barn Swallow"
"beta.lakes_sq",-5.4,2.7,-5.4,"-11 - -0.21","Barn Swallow"
"beta.max_temperature",4.6,4.2,4.5,"-3.7 - 13","Barn Swallow"
"beta.max_temperature_sq",-11,3.8,-11,"-19 - -3.6","Barn Swallow"
"beta.mixed_forest",-32,4.3,-32,"-41 - -24","Barn Swallow"
"beta.mixed_forest_sq",8.1,4,8.2,"0.0034 - 16","Barn Swallow"
"beta.number_observers",0.061,0.028,0.061,"0.006 - 0.12","Barn Swallow"
"beta.ocean",3.4,4,3.5,"-4.9 - 11","Barn Swallow"
"beta.ocean_sq",-6,3.5,-6.1,"-13 - 1.6","Barn Swallow"
"beta.pasture_hay",33,3,33,"27 - 39","Barn Swallow"
"beta.pasture_hay_sq",-12,2.6,-12,"-17 - -7.1","Barn Swallow"
"beta.precipitation",-4.7,4.8,-4.7,"-14 - 4.8","Barn Swallow"
"beta.precipitation_sq",-26,4.2,-26,"-34 - -18","Barn Swallow"
"beta.rivers",6,5.7,7.4,"-11 - 13","Barn Swallow"
"beta.rivers_sq",-5.5,3.9,-5.6,"-14 - 2.2","Barn Swallow"
"beta.shrub_scrub",-15,5.3,-15,"-25 - -4.7","Barn Swallow"
"beta.shrub_scrub_sq",6.4,4.3,6.5,"-2.4 - 14","Barn Swallow"
"beta.slope",-15,5.4,-16,"-24 - -4.8","Barn Swallow"
"beta.slope_sq",0.48,4.6,0.86,"-9.7 - 8.6","Barn Swallow"
"beta.time_of_day",0.076,0.025,0.075,"0.026 - 0.12","Barn Swallow"
"beta.woody_wetland",-18,3.5,-18,"-25 - -11","Barn Swallow"
"beta.woody_wetland_sq",4.2,3.3,4.2,"-2.4 - 11","Barn Swallow"
"beta.0",-4.4,0.18,-4.4,"-4.8 - -4.1","Bell's Vireo"
"beta.aspect",-6.2,7.1,-6.2,"-20 - 7.6","Bell's Vireo"
"beta.aspect_sq",-2.8,5.8,-2.7,"-15 - 8.2","Bell's Vireo"
"beta.barren_land",-0.12,6,0.5,"-14 - 10","Bell's Vireo"
"beta.barren_land_sq",1.6,7.5,2.6,"-14 - 14","Bell's Vireo"
"beta.cultivated_crop",3.6,8.2,3.6,"-12 - 20","Bell's Vireo"
"beta.cultivated_crop_sq",-2.8,8.1,-2.8,"-18 - 13","Bell's Vireo"
"beta.deciduous_forest",-3.6,8.7,-3.6,"-21 - 13","Bell's Vireo"
"beta.deciduous_forest_sq",-6,8.6,-5.9,"-23 - 11","Bell's Vireo"
"beta.developed_high_intensity",-11,8.2,-11,"-27 - 4.8","Bell's Vireo"
"beta.developed_high_intensity_sq",4.2,7.3,4.4,"-11 - 18","Bell's Vireo"
"beta.developed_low_intensity",-12,8.1,-12,"-28 - 3.5","Bell's Vireo"
"beta.developed_low_intensity_sq",-0.76,7.4,-0.63,"-16 - 13","Bell's Vireo"
"beta.effort_hours",0.14,0.1,0.14,"-0.07 - 0.34","Bell's Vireo"
"beta.elevation",-4.5,7.8,-4.6,"-20 - 11","Bell's Vireo"
"beta.elevation_sq",-15,6.8,-15,"-29 - -2.1","Bell's Vireo"
"beta.emergent_wetland",13,5.8,13,"-2.7 - 22","Bell's Vireo"
"beta.emergent_wetland_sq",-5,5.3,-4.6,"-17 - 4.3","Bell's Vireo"
"beta.evergreen_forest",-9.4,7.5,-9.3,"-25 - 4.8","Bell's Vireo"
"beta.evergreen_forest_sq",-0.94,7.1,-0.56,"-16 - 12","Bell's Vireo"
"beta.grassland_herbaceous",-7.3,7.7,-7.4,"-22 - 8.2","Bell's Vireo"
"beta.grassland_herbaceous_sq",-8.1,7.4,-8.5,"-22 - 9.1","Bell's Vireo"
"beta.lakes",-12,8,-12,"-28 - 2.9","Bell's Vireo"
"beta.lakes_sq",9.8,7.7,10,"-5.7 - 24","Bell's Vireo"
"beta.max_temperature",7.3,7.4,7.4,"-7.2 - 22","Bell's Vireo"
"beta.max_temperature_sq",-9.5,6.5,-9.4,"-22 - 3.1","Bell's Vireo"
"beta.mixed_forest",-12,8,-12,"-28 - 3.6","Bell's Vireo"
"beta.mixed_forest_sq",4.9,7.3,5.2,"-10 - 18","Bell's Vireo"
"beta.number_observers",0.027,0.12,0.035,"-0.23 - 0.24","Bell's Vireo"
"beta.ocean",9.2,8.1,9.7,"-8.6 - 24","Bell's Vireo"
"beta.ocean_sq",-2.8,7.3,-2.1,"-19 - 9.9","Bell's Vireo"
"beta.pasture_hay",-7.2,7.7,-7.2,"-22 - 7.7","Bell's Vireo"
"beta.pasture_hay_sq",12,6.6,12,"-1.9 - 24","Bell's Vireo"
"beta.precipitation",2.5,8.1,2.6,"-14 - 18","Bell's Vireo"
"beta.precipitation_sq",-9.1,6.7,-9.1,"-23 - 4","Bell's Vireo"
"beta.rivers",-1.2,7.4,-1,"-16 - 13","Bell's Vireo"
"beta.rivers_sq",2.6,8.6,2.7,"-14 - 19","Bell's Vireo"
"beta.shrub_scrub",13,8.1,13,"-2.3 - 29","Bell's Vireo"
"beta.shrub_scrub_sq",12,5.5,13,"1.3 - 23","Bell's Vireo"
"beta.slope",8.4,7.2,8.5,"-5.9 - 22","Bell's Vireo"
"beta.slope_sq",-4.9,6.5,-4.7,"-18 - 7.1","Bell's Vireo"
"beta.time_of_day",0.0072,0.13,0.008,"-0.24 - 0.26","Bell's Vireo"
"beta.woody_wetland",-3.1,9.1,-3.5,"-21 - 14","Bell's Vireo"
"beta.woody_wetland_sq",-2.2,7.5,-2.1,"-18 - 12","Bell's Vireo"
"beta.0",-3.9,0.066,-3.9,"-4 - -3.8","Belted Kingfisher"
"beta.aspect",-9.8,10,-12,"-24 - 13","Belted Kingfisher"
"beta.aspect_sq",2.1,6.3,2.7,"-12 - 13","Belted Kingfisher"
"beta.barren_land",-0.57,6.4,-0.29,"-14 - 11","Belted Kingfisher"
"beta.barren_land_sq",-5.5,7.5,-5.5,"-20 - 8.6","Belted Kingfisher"
"beta.cultivated_crop",5.9,6.9,5.9,"-7.7 - 19","Belted Kingfisher"
"beta.cultivated_crop_sq",-5.7,7.1,-5.8,"-19 - 8.7","Belted Kingfisher"
"beta.deciduous_forest",14,7.9,14,"-2.9 - 28","Belted Kingfisher"
"beta.deciduous_forest_sq",-5,6.2,-5,"-17 - 7","Belted Kingfisher"
"beta.developed_high_intensity",-12,7.5,-12,"-27 - 2.9","Belted Kingfisher"
"beta.developed_high_intensity_sq",-1,7.6,-0.77,"-16 - 13","Belted Kingfisher"
"beta.developed_low_intensity",-5.1,7.7,-5.1,"-20 - 10","Belted Kingfisher"
"beta.developed_low_intensity_sq",-6.3,7,-6.2,"-20 - 7.3","Belted Kingfisher"
"beta.effort_hours",0.3,0.039,0.3,"0.22 - 0.37","Belted Kingfisher"
"beta.elevation",-2.5,8.1,-2.4,"-19 - 13","Belted Kingfisher"
"beta.elevation_sq",-10,6.7,-10,"-24 - 2.8","Belted Kingfisher"
"beta.emergent_wetland",16,4.6,16,"6.7 - 24","Belted Kingfisher"
"beta.emergent_wetland_sq",-8.5,4.3,-8.5,"-17 - -0.08","Belted Kingfisher"
"beta.evergreen_forest",-0.23,7.8,-0.26,"-15 - 15","Belted Kingfisher"
"beta.evergreen_forest_sq",-14,6.5,-14,"-26 - -0.85","Belted Kingfisher"
"beta.grassland_herbaceous",-6,7.6,-5.9,"-21 - 8.6","Belted Kingfisher"
"beta.grassland_herbaceous_sq",0.87,7.3,1.1,"-14 - 15","Belted Kingfisher"
"beta.lakes",29,4.7,29,"20 - 38","Belted Kingfisher"
"beta.lakes_sq",-13,4.3,-13,"-22 - -5.1","Belted Kingfisher"
"beta.max_temperature",-15,6.8,-15,"-29 - -1.9","Belted Kingfisher"
"beta.max_temperature_sq",6.5,6.3,6.6,"-6.2 - 19","Belted Kingfisher"
"beta.mixed_forest",13,6.6,13,"-0.58 - 25","Belted Kingfisher"
"beta.mixed_forest_sq",0.25,5.5,0.37,"-11 - 11","Belted Kingfisher"
"beta.number_observers",-0.014,0.064,-0.011,"-0.15 - 0.1","Belted Kingfisher"
"beta.ocean",-3.1,6.8,-2.9,"-17 - 9.8","Belted Kingfisher"
"beta.ocean_sq",-5.6,7,-5.2,"-20 - 6.6","Belted Kingfisher"
"beta.pasture_hay",3.9,6.5,4,"-8.9 - 17","Belted Kingfisher"
"beta.pasture_hay_sq",-7.1,6.5,-7,"-20 - 5.2","Belted Kingfisher"
"beta.precipitation",-3.1,7.5,-3.1,"-18 - 12","Belted Kingfisher"
"beta.precipitation_sq",-5.8,6.9,-5.7,"-20 - 7.4","Belted Kingfisher"
"beta.rivers",10,5.4,11,"-5.5 - 17","Belted Kingfisher"
"beta.rivers_sq",-7.1,3.8,-7.1,"-14 - 0.65","Belted Kingfisher"
"beta.shrub_scrub",-6.8,7.9,-6.8,"-23 - 8.4","Belted Kingfisher"
"beta.shrub_scrub_sq",0.75,7.1,0.88,"-14 - 14","Belted Kingfisher"
"beta.slope",10,11,12,"-18 - 27","Belted Kingfisher"
"beta.slope_sq",2.6,5.8,2.7,"-9.3 - 14","Belted Kingfisher"
"beta.time_of_day",0.031,0.054,0.031,"-0.076 - 0.14","Belted Kingfisher"
"beta.woody_wetland",19,5.8,19,"7.2 - 30","Belted Kingfisher"
"beta.woody_wetland_sq",-11,5.8,-11,"-22 - 0.32","Belted Kingfisher"
"beta.0",-2.8,0.083,-2.8,"-3 - -2.6","Bewick's Wren"
"beta.aspect",-7.2,6.2,-7.4,"-19 - 5.6","Bewick's Wren"
"beta.aspect_sq",9.5,3.9,9.6,"1.8 - 17","Bewick's Wren"
"beta.barren_land",-1.6,5.2,-1.3,"-13 - 7.7","Bewick's Wren"
"beta.barren_land_sq",1.5,8.8,3.3,"-17 - 15","Bewick's Wren"
"beta.cultivated_crop",-18,5.9,-18,"-30 - -6.8","Bewick's Wren"
"beta.cultivated_crop_sq",-1.6,5.2,-1.5,"-12 - 8.4","Bewick's Wren"
"beta.deciduous_forest",-18,6.6,-18,"-31 - -5.5","Bewick's Wren"
"beta.deciduous_forest_sq",-6.8,6.5,-6.4,"-20 - 5.1","Bewick's Wren"
"beta.developed_high_intensity",-14,8.4,-15,"-27 - 6","Bewick's Wren"
"beta.developed_high_intensity_sq",-2.1,7.7,-0.51,"-19 - 9.7","Bewick's Wren"
"beta.developed_low_intensity",15,5.9,15,"2.1 - 26","Bewick's Wren"
"beta.developed_low_intensity_sq",-5.9,4.6,-6,"-15 - 3.4","Bewick's Wren"
"beta.effort_hours",0.31,0.051,0.31,"0.21 - 0.41","Bewick's Wren"
"beta.elevation",-24,6.5,-24,"-37 - -11","Bewick's Wren"
"beta.elevation_sq",3.4,5.3,3.4,"-7.1 - 14","Bewick's Wren"
"beta.emergent_wetland",-4.6,5.4,-4.6,"-15 - 6","Bewick's Wren"
"beta.emergent_wetland_sq",-0.25,5.6,0.33,"-12 - 9.2","Bewick's Wren"
"beta.evergreen_forest",-12,6.6,-12,"-25 - 0.54","Bewick's Wren"
"beta.evergreen_forest_sq",-12,5.4,-12,"-23 - -1.6","Bewick's Wren"
"beta.grassland_herbaceous",-3.1,4.9,-3.1,"-13 - 6.5","Bewick's Wren"
"beta.grassland_herbaceous_sq",1.1,5,1.3,"-9 - 11","Bewick's Wren"
"beta.lakes",-6.5,6,-6.2,"-19 - 4.8","Bewick's Wren"
"beta.lakes_sq",-4.1,6,-3.6,"-17 - 6.5","Bewick's Wren"
"beta.max_temperature",20,6.5,20,"7.5 - 33","Bewick's Wren"
"beta.max_temperature_sq",-29,5.3,-29,"-40 - -19","Bewick's Wren"
"beta.mixed_forest",15,5.5,15,"4.4 - 26","Bewick's Wren"
"beta.mixed_forest_sq",-5,4.2,-5,"-13 - 3.1","Bewick's Wren"
"beta.number_observers",-0.075,0.096,-0.071,"-0.27 - 0.1","Bewick's Wren"
"beta.ocean",1.3,7.5,1.4,"-13 - 15","Bewick's Wren"
"beta.ocean_sq",-1.7,8,-1.8,"-17 - 11","Bewick's Wren"
"beta.pasture_hay",-8.6,6.2,-8.7,"-21 - 3.4","Bewick's Wren"
"beta.pasture_hay_sq",-1.7,4.7,-1.6,"-11 - 7.2","Bewick's Wren"
"beta.precipitation",10,5.2,10,"-0.21 - 20","Bewick's Wren"
"beta.precipitation_sq",-0.64,5.2,-0.58,"-11 - 9.4","Bewick's Wren"
"beta.rivers",5.5,5.7,6.1,"-8.9 - 14","Bewick's Wren"
"beta.rivers_sq",0.78,4.1,0.84,"-7.3 - 8.6","Bewick's Wren"
"beta.shrub_scrub",13,6.7,13,"1 - 27","Bewick's Wren"
"beta.shrub_scrub_sq",-5.6,4.4,-5.7,"-14 - 3.2","Bewick's Wren"
"beta.slope",4.5,6.5,4.7,"-9.1 - 16","Bewick's Wren"
"beta.slope_sq",-12,5.4,-12,"-23 - -1.6","Bewick's Wren"
"beta.time_of_day",-0.13,0.063,-0.13,"-0.25 - -0.0061","Bewick's Wren"
"beta.woody_wetland",11,3.8,11,"4.7 - 17","Bewick's Wren"
"beta.woody_wetland_sq",3.4,3.2,3.5,"-3.1 - 9.3","Bewick's Wren"
"beta.0",-3.4,0.078,-3.4,"-3.6 - -3.3","Black-and-white Warbler"
"beta.aspect",8.7,6.9,8.8,"-4.9 - 22","Black-and-white Warbler"
"beta.aspect_sq",2,5.3,2,"-8.7 - 12","Black-and-white Warbler"
"beta.barren_land",-7,6.3,-6.7,"-20 - 4.5","Black-and-white Warbler"
"beta.barren_land_sq",-4.4,6.3,-3.9,"-18 - 6.5","Black-and-white Warbler"
"beta.cultivated_crop",-26,6.2,-26,"-39 - -14","Black-and-white Warbler"
"beta.cultivated_crop_sq",14,5.3,14,"3 - 24","Black-and-white Warbler"
"beta.deciduous_forest",34,5.2,34,"24 - 44","Black-and-white Warbler"
"beta.deciduous_forest_sq",6.7,3.9,6.8,"-1.1 - 14","Black-and-white Warbler"
"beta.developed_high_intensity",-25,7,-25,"-39 - -12","Black-and-white Warbler"
"beta.developed_high_intensity_sq",18,5.9,18,"5.6 - 29","Black-and-white Warbler"
"beta.developed_low_intensity",-33,7.6,-33,"-48 - -19","Black-and-white Warbler"
"beta.developed_low_intensity_sq",24,6,25,"12 - 36","Black-and-white Warbler"
"beta.effort_hours",0.1,0.045,0.1,"0.0093 - 0.19","Black-and-white Warbler"
"beta.elevation",-11,6.2,-11,"-23 - 1.2","Black-and-white Warbler"
"beta.elevation_sq",4.7,4.9,4.8,"-5.1 - 14","Black-and-white Warbler"
"beta.emergent_wetland",-1.2,6.5,-0.77,"-15 - 11","Black-and-white Warbler"
"beta.emergent_wetland_sq",-12,7.3,-12,"-26 - 3","Black-and-white Warbler"
"beta.evergreen_forest",9.9,5.6,9.9,"-1.2 - 21","Black-and-white Warbler"
"beta.evergreen_forest_sq",-6,4.9,-5.9,"-16 - 3.3","Black-and-white Warbler"
"beta.grassland_herbaceous",7.6,6.7,8,"-7.3 - 19","Black-and-white Warbler"
"beta.grassland_herbaceous_sq",-0.78,4.9,-0.71,"-10 - 8.6","Black-and-white Warbler"
"beta.lakes",3.6,5.7,3.8,"-8.1 - 15","Black-and-white Warbler"
"beta.lakes_sq",-0.88,4.6,-0.99,"-9.7 - 8.4","Black-and-white Warbler"
"beta.max_temperature",-22,6.1,-22,"-34 - -10","Black-and-white Warbler"
"beta.max_temperature_sq",-11,6.1,-11,"-23 - 1.1","Black-and-white Warbler"
"beta.mixed_forest",37,4.6,37,"28 - 46","Black-and-white Warbler"
"beta.mixed_forest_sq",-4.1,3.3,-4.1,"-11 - 2.4","Black-and-white Warbler"
"beta.number_observers",0.012,0.059,0.014,"-0.11 - 0.12","Black-and-white Warbler"
"beta.ocean",-4.1,6.7,-4,"-18 - 8.5","Black-and-white Warbler"
"beta.ocean_sq",-5.8,6.6,-5.6,"-19 - 6.7","Black-and-white Warbler"
"beta.pasture_hay",-22,6.7,-22,"-36 - -9.3","Black-and-white Warbler"
"beta.pasture_hay_sq",-0.14,6.9,0.059,"-14 - 13","Black-and-white Warbler"
"beta.precipitation",-6.6,5.3,-6.6,"-17 - 3.9","Black-and-white Warbler"
"beta.precipitation_sq",-2.1,6.1,-1.9,"-15 - 9.3","Black-and-white Warbler"
"beta.rivers",-2.9,5.6,-2.8,"-14 - 7.7","Black-and-white Warbler"
"beta.rivers_sq",1.9,5,2.5,"-9.7 - 10","Black-and-white Warbler"
"beta.shrub_scrub",2.7,6.1,2.8,"-9.7 - 14","Black-and-white Warbler"
"beta.shrub_scrub_sq",-3.7,6.2,-3.6,"-16 - 8.1","Black-and-white Warbler"
"beta.slope",-2.7,6.3,-2.7,"-15 - 9.8","Black-and-white Warbler"
"beta.slope_sq",13,4.4,13,"4.4 - 22","Black-and-white Warbler"
"beta.time_of_day",-0.16,0.046,-0.16,"-0.25 - -0.072","Black-and-white Warbler"
"beta.woody_wetland",23,5,23,"12 - 32","Black-and-white Warbler"
"beta.woody_wetland_sq",-8.8,4,-8.8,"-17 - -1.3","Black-and-white Warbler"
"beta.0",-3.1,0.15,-3.1,"-3.4 - -2.8","Black-bellied Whistling-Duck"
"beta.aspect",-9.2,7.6,-9.4,"-24 - 5.5","Black-bellied Whistling-Duck"
"beta.aspect_sq",-0.63,4.7,-0.47,"-10 - 8.1","Black-bellied Whistling-Duck"
"beta.barren_land",1,6.6,1.8,"-14 - 12","Black-bellied Whistling-Duck"
"beta.barren_land_sq",-3.4,5,-3.1,"-14 - 5.7","Black-bellied Whistling-Duck"
"beta.cultivated_crop",0.14,6.4,0.44,"-13 - 12","Black-bellied Whistling-Duck"
"beta.cultivated_crop_sq",-8.5,5.2,-8.5,"-19 - 1.5","Black-bellied Whistling-Duck"
"beta.deciduous_forest",-19,7.1,-19,"-33 - -4.9","Black-bellied Whistling-Duck"
"beta.deciduous_forest_sq",5,6.3,5.2,"-7.8 - 17","Black-bellied Whistling-Duck"
"beta.developed_high_intensity",5.8,9.2,7.5,"-15 - 20","Black-bellied Whistling-Duck"
"beta.developed_high_intensity_sq",-8,5.6,-8.1,"-19 - 3.5","Black-bellied Whistling-Duck"
"beta.developed_low_intensity",-2.8,8.2,-3.3,"-18 - 15","Black-bellied Whistling-Duck"
"beta.developed_low_intensity_sq",-3.9,5.9,-3.8,"-16 - 7.4","Black-bellied Whistling-Duck"
"beta.effort_hours",0.31,0.084,0.31,"0.15 - 0.48","Black-bellied Whistling-Duck"
"beta.elevation",-8.2,7.4,-8.1,"-22 - 6.1","Black-bellied Whistling-Duck"
"beta.elevation_sq",6.2,6.3,6.2,"-6.7 - 18","Black-bellied Whistling-Duck"
"beta.emergent_wetland",2.2,5.2,2.2,"-8.4 - 12","Black-bellied Whistling-Duck"
"beta.emergent_wetland_sq",-16,6.4,-16,"-29 - -3.7","Black-bellied Whistling-Duck"
"beta.evergreen_forest",-4.4,6,-4.4,"-16 - 7.6","Black-bellied Whistling-Duck"
"beta.evergreen_forest_sq",6.8,5.1,7.1,"-4 - 16","Black-bellied Whistling-Duck"
"beta.grassland_herbaceous",-12,6.9,-12,"-26 - 1.4","Black-bellied Whistling-Duck"
"beta.grassland_herbaceous_sq",2.8,6.5,3.1,"-10 - 15","Black-bellied Whistling-Duck"
